Hospital (Novartis),Address,City,State,Zip,rpt_rec_num,Designation,LATITUDE,LONGITUDE,State_Full,Number of Beds,County,Lookup,prostate_cancer_incidence,Demand Weight,Demand per Year
HARTFORD HOSPITAL,RADIATION ONCOLOGY 80 SEYMOUR STREET, HARTFORD,CT,06102,800359,1,41.75251757,-72.68016798,Connecticut,723,Hartford,ConnecticutHartford County,27.3,19737.9,446
UMASS MEMORIAL MEDICAL CENTER,55 LAKE AVENUE N, WORCESTER,MA,01655,765713,2,42.27775078,-71.76132457,Massachusetts,692,Worcester,MassachusettsWorcester County,28.3,39167.200000000004,886
ADVENTHEALTH DAYTONA BEACH HOSPITAL CANCER INSTITUTE,224 MEMORIAL MEDICAL PARKWAY, DAYTONA BEACH,FL,32117,774379,1,29.23629255,-81.05558968,Florida,330,Volusia,FloridaVolusia County,16.4,5411.999999999999,122
HALIFAX HEALTH-CANCER CENTER FOR HOPE,303 N CLYDE MORRIS BLVD, DAYTONA BEACH,FL,32114,786188,1,29.19948506,-81.04037838,Florida,533,Volusia,FloridaVolusia County,16.4,8741.199999999999,198
MOFFITT THERANOSTICS CENTER,RADIONUCLIDE THERAPY 12902 MAGNOLIA DRIVE, TAMPA,FL,33612,793807,5,28.0510395,-82.45036104,Florida,314,Hillsborough,FloridaHillsborough County,18.7,29359,664
DANA-FARBER CANCER INSTITUTE,450 BROOKLINE AVE, BOSTON,MA,02215,766895,5,42.34605659,-71.1000445,Massachusetts,30,Suffolk,MassachusettsSuffolk County,29.4,4410,100
MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT ST, BOSTON,MA,02114,799884,2,42.36195087,-71.06633793,Massachusetts,997,Suffolk,MassachusettsSuffolk County,29.4,58623.6,1326
BOSTON MEDICAL CENTER,840 HARRISON AVE, BOSTON,MA,02118,766300,1,42.33979894,-71.07476606,Massachusetts,442,Suffolk,MassachusettsSuffolk County,29.4,12994.8,294
TUFTS MEDICAL CENTER,800 WASHINGTON STREET NUCLEAR MEDICINE PROGER 4, BOSTON,MA,02111,765197,2,42.35205294,-71.06144273,Massachusetts,364,Suffolk,MassachusettsSuffolk County,29.4,21403.2,484
TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIR SUITE NO. TAMPA GENERAL CANCER INSTITUTE, TAMPA,FL,33606,766415,1,27.9347516,-82.46942675,Florida,1017,Hillsborough,FloridaHillsborough County,18.7,19017.899999999998,430
ORLANDO HEALTH BAYFRONT HOSPITAL,701 6TH ST. S MAIN HOSP BLDG FL 1, ST. PETERSBURG,FL,33701-4814,766627,1,27.77401249,-82.63662788,Florida,262,Pinellas,FloridaPinellas County,15.5,4061,92
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTRE STREET, BROCKTON,MA,02302,765195,1,42.08873419,-71.00166941,Massachusetts,175,Plymouth,MassachusettsPlymouth County,27,4725,107
MAINEHEALTH MAINE MEDICAL CENTER,22 BRAMHALL STREET, PORTLAND,ME,04102,766073,1,43.65972884,-70.28859762,Maine,679,Cumberland,MaineCumberland County,18.7,12697.3,287
SARASOTA MEMORIAL HEALTHCARE,1700 S. TAMIAMI TRAIL, SARASOTA,FL,34239,764698,1,27.31095898,-82.51798169,Florida,786,Sarasota,FloridaSarasota County,22.9,17999.399999999998,407
CAPE COD HOSPITAL,NUC MED FL 1 27 PARK ST, HYANNIS,MA,02601-5230,765191,1,41.65331525,-70.29896283,Massachusetts,239,Barnstable,MassachusettsBarnstable County,28.1,6715.900000000001,152
